Start Time,End Time,Premise
2022-05-05T08:00,2022-05-05T10:00,D3
2022-05-05T08:00,2022-05-05T10:00,D34
2022-05-05T08:00,2022-05-05T10:00,VIC-studion
2022-05-05T08:00,2022-05-05T10:00,D3
2022-05-05T08:00,2022-05-05T10:00,D31
2022-05-05T08:00,2022-05-05T12:00,D3
2022-05-05T08:00,2022-05-05T17:00,D4448
2022-05-05T08:00,2022-05-05T17:00,D3
2022-05-05T08:00,2022-05-05T17:00,D36 (Gamla styrelserummet)
2022-05-05T08:00,2022-05-05T21:00,5O1Spe (Spelhallen)
2022-05-05T08:00,2022-05-05T21:00,5O2Spo (Sporthallen)
2022-05-05T08:00,2022-05-05T21:00,5O3Mus (Musiksalen)
2022-05-05T09:00,2022-05-05T21:00,5O4Kons (Konsthallen)
2022-05-05T09:00,2022-05-05T21:00,5O5Mat (Matsalen)
2022-05-05T10:00,2022-05-05T12:00,D1
2022-05-05T10:00,2022-05-05T12:00,D41
2022-05-05T10:00,2022-05-05T12:00,D2
2022-05-05T10:00,2022-05-05T12:00,E2
2022-05-05T10:00,2022-05-05T12:00,D1
2022-05-05T10:00,2022-05-05T12:00,D3
2022-05-05T10:00,2022-05-05T12:00,D34
2022-05-05T10:00,2022-05-05T12:00,D3
2022-05-05T10:00,2022-05-05T12:00,D35
2022-05-05T12:00,2022-05-05T13:00,D2
2022-05-05T13:00,2022-05-05T15:00,D1
2022-05-05T13:00,2022-05-05T15:00,E1
2022-05-05T13:00,2022-05-05T15:00,D3
2022-05-05T13:00,2022-05-05T15:00,D3
2022-05-05T13:00,2022-05-05T15:00,D35
2022-05-05T13:00,2022-05-05T18:00,D2
2022-05-05T14:00,2022-05-05T16:00,D3
2022-05-05T14:00,2022-05-05T16:00,D31
2022-05-05T15:00,2022-05-05T17:00,D1
2022-05-05T15:00,2022-05-05T17:00,E1
2022-05-05T15:00,2022-05-05T19:00,"D/LV5 (Ljusgård, D)"
2022-05-05T15:00,2022-05-05T19:00,D3
2022-05-05T15:00,2022-05-05T19:00,D34
2022-05-06T08:00,2022-05-06T10:00,D1
2022-05-06T08:00,2022-05-06T10:00,D3
2022-05-06T08:00,2022-05-06T10:00,D35
2022-05-06T08:00,2022-05-06T10:00,D42
2022-05-06T08:00,2022-05-06T10:00,E1
2022-05-06T08:00,2022-05-06T10:00,E3
2022-05-06T08:00,2022-05-06T10:00,E31
2022-05-06T08:00,2022-05-06T10:00,E33
2022-05-06T08:00,2022-05-06T10:00,E35
2022-05-06T08:00,2022-05-06T10:00,E36
2022-05-06T08:00,2022-05-06T10:00,E53
2022-05-06T08:00,2022-05-06T10:00,D1
2022-05-06T08:00,2022-05-06T10:00,D41
2022-05-06T08:00,2022-05-06T10:00,D3
2022-05-06T08:00,2022-05-06T10:00,D31
2022-05-06T08:00,2022-05-06T21:00,5O1Spe (Spelhallen)
2022-05-06T08:00,2022-05-06T21:00,5O2Spo (Sporthallen)
2022-05-06T08:00,2022-05-06T21:00,5O3Mus (Musiksalen)
2022-05-06T09:00,2022-05-06T21:00,5O4Kons (Konsthallen)
2022-05-06T09:00,2022-05-06T21:00,5O5Mat (Matsalen)
2022-05-06T10:00,2022-05-06T12:00,D1
2022-05-06T10:00,2022-05-06T12:00,D3
2022-05-06T10:00,2022-05-06T12:00,D35
2022-05-06T10:00,2022-05-06T12:00,D2
2022-05-06T10:00,2022-05-06T12:00,D3
2022-05-06T10:00,2022-05-06T12:00,E2
2022-05-06T13:00,2022-05-06T14:00,D2
2022-05-06T13:00,2022-05-06T15:00,D3
2022-05-06T13:00,2022-05-06T15:00,D34
2022-05-06T13:00,2022-05-06T15:00,D41
2022-05-06T13:00,2022-05-06T15:00,E3
2022-05-06T13:00,2022-05-06T15:00,E35
2022-05-06T13:00,2022-05-06T15:00,E36
2022-05-06T13:00,2022-05-06T15:00,D3
2022-05-06T13:00,2022-05-06T15:00,E2
2022-05-06T13:00,2022-05-06T15:00,D1
2022-05-06T13:00,2022-05-06T15:00,D3
2022-05-06T13:00,2022-05-06T15:00,D35
2022-05-06T13:00,2022-05-06T15:00,D42
2022-05-06T13:00,2022-05-06T15:00,E2
2022-05-06T13:00,2022-05-06T16:00,D3
2022-05-06T13:00,2022-05-06T16:00,D37
2022-05-06T14:00,2022-05-06T16:00,D3
2022-05-06T14:00,2022-05-06T16:00,D31
2022-05-06T15:00,2022-05-06T17:00,D1
2022-05-06T15:00,2022-05-06T17:00,D3
2022-05-06T15:00,2022-05-06T17:00,D35
2022-05-06T15:00,2022-05-06T17:00,D42
2022-05-06T15:00,2022-05-06T17:00,E2
2022-05-06T15:00,2022-05-06T17:00,D41
2022-05-06T15:00,2022-05-06T17:00,D1
2022-05-06T15:00,2022-05-06T17:00,D2
2022-05-06T15:00,2022-05-06T17:00,D3
2022-05-06T15:00,2022-05-06T17:00,D34
2022-05-06T15:00,2022-05-06T17:00,E1
2022-05-06T15:00,2022-05-06T17:00,E3
2022-05-06T15:00,2022-05-06T17:00,E31
2022-05-06T15:00,2022-05-06T17:00,E33
2022-05-06T15:00,2022-05-06T17:00,E35
2022-05-06T15:00,2022-05-06T17:00,E36
2022-05-06T15:00,2022-05-06T17:00,E53
2022-05-06T15:00,2022-05-06T21:00,D3
2022-05-06T15:00,2022-05-06T21:00,D36 (Gamla styrelserummet)
2022-05-06T17:00,2022-05-06T21:00,D1
2022-05-06T17:00,2022-05-06T21:00,D2
2022-05-06T17:00,2022-05-06T21:00,D3
2022-05-06T17:00,2022-05-06T21:00,D34
2022-05-06T17:00,2022-05-06T21:00,D35
2022-05-06T17:00,2022-05-06T21:00,E1
2022-05-06T17:00,2022-05-06T21:00,E3
2022-05-06T17:00,2022-05-06T21:00,E31
2022-05-06T17:00,2022-05-06T21:00,E33
2022-05-06T17:00,2022-05-06T21:00,E35
2022-05-06T17:00,2022-05-06T21:00,E36
2022-05-06T17:00,2022-05-06T21:00,E51
2022-05-06T17:00,2022-05-06T21:00,E52
2022-05-06T17:00,2022-05-06T21:00,E53
2022-05-07T08:00,2022-05-07T19:00,D1
2022-05-07T08:00,2022-05-07T19:00,D2
2022-05-07T08:00,2022-05-07T19:00,D3
2022-05-07T08:00,2022-05-07T19:00,D34
2022-05-07T08:00,2022-05-07T19:00,D35
2022-05-07T08:00,2022-05-07T19:00,E1
2022-05-07T08:00,2022-05-07T19:00,E3
2022-05-07T08:00,2022-05-07T19:00,E31
2022-05-07T08:00,2022-05-07T19:00,E33
2022-05-07T08:00,2022-05-07T19:00,E35
2022-05-07T08:00,2022-05-07T19:00,E36
2022-05-07T08:00,2022-05-07T19:00,E51
2022-05-07T08:00,2022-05-07T19:00,E52
2022-05-07T08:00,2022-05-07T19:00,E53
2022-05-07T08:00,2022-05-07T19:00,D3
2022-05-07T08:00,2022-05-07T19:00,D36 (Gamla styrelserummet)
2022-05-07T08:00,2022-05-07T19:00,E3
2022-05-07T08:00,2022-05-07T19:00,E34
2022-05-07T08:00,2022-05-07T21:00,5O1Spe (Spelhallen)
2022-05-07T08:00,2022-05-07T21:00,5O2Spo (Sporthallen)
2022-05-07T08:00,2022-05-07T21:00,5O3Mus (Musiksalen)
2022-05-07T09:00,2022-05-07T21:00,5O4Kons (Konsthallen)
2022-05-07T09:00,2022-05-07T21:00,5O5Mat (Matsalen)
2022-05-08T08:00,2022-05-08T21:00,5O1Spe (Spelhallen)
2022-05-08T08:00,2022-05-08T21:00,5O2Spo (Sporthallen)
2022-05-08T08:00,2022-05-08T21:00,5O3Mus (Musiksalen)
2022-05-08T09:00,2022-05-08T21:00,5O4Kons (Konsthallen)
2022-05-08T09:00,2022-05-08T21:00,5O5Mat (Matsalen)
2022-05-09T08:00,2022-05-09T10:00,D1
2022-05-09T08:00,2022-05-09T10:00,D3
2022-05-09T08:00,2022-05-09T10:00,D36 (Gamla styrelserummet)
2022-05-09T08:00,2022-05-09T10:00,D3
2022-05-09T08:00,2022-05-09T10:00,D31
2022-05-09T08:00,2022-05-09T21:00,5O1Spe (Spelhallen)
2022-05-09T08:00,2022-05-09T21:00,5O2Spo (Sporthallen)
2022-05-09T08:00,2022-05-09T21:00,5O3Mus (Musiksalen)
2022-05-09T09:00,2022-05-09T21:00,5O4Kons (Konsthallen)
2022-05-09T09:00,2022-05-09T21:00,5O5Mat (Matsalen)
2022-05-09T10:00,2022-05-09T12:00,D1
2022-05-09T10:00,2022-05-09T12:00,D3
2022-05-09T10:00,2022-05-09T12:00,D35
2022-05-09T10:00,2022-05-09T12:00,D42
2022-05-09T10:00,2022-05-09T12:00,E1
2022-05-09T10:00,2022-05-09T12:00,E3
2022-05-09T10:00,2022-05-09T12:00,E31
2022-05-09T10:00,2022-05-09T12:00,E33
2022-05-09T10:00,2022-05-09T12:00,E35
2022-05-09T10:00,2022-05-09T12:00,E36
2022-05-09T10:00,2022-05-09T12:00,E53
2022-05-09T10:00,2022-05-09T12:00,D1
2022-05-09T10:00,2022-05-09T12:00,D41
2022-05-09T10:00,2022-05-09T12:00,D2
2022-05-09T10:00,2022-05-09T12:00,D4448
2022-05-09T10:00,2022-05-09T12:00,D3
2022-05-09T10:00,2022-05-09T12:00,D33
2022-05-09T13:00,2022-05-09T15:00,D42
2022-05-09T13:00,2022-05-09T15:00,E2
2022-05-09T13:00,2022-05-09T15:00,D1
2022-05-09T13:00,2022-05-09T15:00,D4448
2022-05-09T13:00,2022-05-09T15:00,D2
2022-05-09T13:00,2022-05-09T15:00,D3
2022-05-09T13:00,2022-05-09T15:00,D33
2022-05-09T13:00,2022-05-09T15:00,E3
2022-05-09T13:00,2022-05-09T15:00,D3
2022-05-09T13:00,2022-05-09T15:00,D34
2022-05-09T13:00,2022-05-09T15:00,E2
2022-05-09T13:00,2022-05-09T15:00,D3
2022-05-09T13:00,2022-05-09T15:00,E2
2022-05-09T13:00,2022-05-09T15:00,D41
2022-05-09T14:00,2022-05-09T16:00,D3
2022-05-09T14:00,2022-05-09T16:00,D31
2022-05-09T15:00,2022-05-09T17:00,D41
2022-05-09T15:00,2022-05-09T17:00,E2
2022-05-09T15:00,2022-05-09T17:00,D3
2022-05-09T15:00,2022-05-09T17:00,D35
2022-05-09T15:00,2022-05-09T17:00,D2
2022-05-09T15:00,2022-05-09T17:00,D42
2022-05-09T15:00,2022-05-09T19:00,"D/LV5 (Ljusgård, D)"
2022-05-09T15:00,2022-05-09T19:00,D3
2022-05-09T15:00,2022-05-09T19:00,D34
2022-05-09T16:00,2022-05-09T18:00,D3
2022-05-09T16:00,2022-05-09T18:00,D36 (Gamla styrelserummet)
2022-05-10T08:00,2022-05-10T10:00,D1
2022-05-10T08:00,2022-05-10T10:00,D41
2022-05-10T08:00,2022-05-10T10:00,D3
2022-05-10T08:00,2022-05-10T10:00,D31
2022-05-10T08:00,2022-05-10T21:00,5O1Spe (Spelhallen)
2022-05-10T08:00,2022-05-10T21:00,5O2Spo (Sporthallen)
2022-05-10T08:00,2022-05-10T21:00,5O3Mus (Musiksalen)
2022-05-10T09:00,2022-05-10T10:00,D3
2022-05-10T09:00,2022-05-10T10:00,D34
2022-05-10T09:00,2022-05-10T10:00,D35
2022-05-10T09:00,2022-05-10T19:00,D3
2022-05-10T09:00,2022-05-10T19:00,D36 (Gamla styrelserummet)
2022-05-10T09:00,2022-05-10T21:00,5O4Kons (Konsthallen)
2022-05-10T09:00,2022-05-10T21:00,5O5Mat (Matsalen)
2022-05-10T10:00,2022-05-10T11:00,VIC-studion
2022-05-10T10:00,2022-05-10T11:00,E3
2022-05-10T10:00,2022-05-10T12:00,D1
2022-05-10T10:00,2022-05-10T12:00,D2
2022-05-10T10:00,2022-05-10T12:00,E2
2022-05-10T10:00,2022-05-10T12:00,D1
2022-05-10T10:00,2022-05-10T12:00,D3
2022-05-10T10:00,2022-05-10T12:00,D35
2022-05-10T10:00,2022-05-10T12:00,E3
2022-05-10T10:00,2022-05-10T12:00,E31
2022-05-10T10:00,2022-05-10T12:00,E33
2022-05-10T10:00,2022-05-10T12:00,D41
2022-05-10T10:00,2022-05-10T12:00,E3
2022-05-10T10:00,2022-05-10T12:00,D42
2022-05-10T10:00,2022-05-10T12:00,E2
2022-05-10T13:00,2022-05-10T15:00,D2
2022-05-10T13:00,2022-05-10T15:00,D3
2022-05-10T13:00,2022-05-10T15:00,D4448
2022-05-10T13:00,2022-05-10T15:00,D1
2022-05-10T13:00,2022-05-10T15:00,E2
2022-05-10T13:00,2022-05-10T15:00,D2
2022-05-10T13:00,2022-05-10T15:00,D3
2022-05-10T13:00,2022-05-10T15:00,D34
2022-05-10T13:00,2022-05-10T15:00,D3
2022-05-10T13:00,2022-05-10T15:00,D37
2022-05-10T14:00,2022-05-10T16:00,D3
2022-05-10T14:00,2022-05-10T16:00,D31
2022-05-10T15:00,2022-05-10T17:00,D1
2022-05-10T15:00,2022-05-10T17:00,D41
2022-05-10T15:00,2022-05-10T19:00,"D/LV5 (Ljusgård, D)"
2022-05-10T15:00,2022-05-10T19:00,D3
2022-05-10T15:00,2022-05-10T19:00,D34
2022-05-10T17:00,2022-05-10T19:00,D3
2022-05-10T17:00,2022-05-10T19:00,1625
2022-05-11T08:00,2022-05-11T10:00,D1
2022-05-11T08:00,2022-05-11T10:00,D3
